tweet_count,city,body,date,hashtags,link,geo,tokenized,cleaned,predicted,pos,neg,neu,compound,sentiment
10,New York,You rich! I could only afford delivery once all quarantine... an that’s because someone else paid for it,2020-07-14 20:58:43+00:00,,https://twitter.com/BretonyBoheme/status/1283143914690674688,,"['You', 'rich', '!', 'I', 'could', 'only', 'afford', 'delivery', 'once', 'all', 'quarantine', '...', 'an', 'that', '’', 's', 'because', 'someone', 'else', 'paid', 'for', 'it']","['rich', 'could', 'afford', 'delivery', 'quarantine', '...', '’', 'someone', 'else', 'pay']",Positive,0.277,0.108,0.615,0.4939,Positive
11,New York,The Uber eats guys are dead the worst ,2020-07-14 20:54:22+00:00,,https://twitter.com/meganmtz9/status/1283142818781945857,,"['The', 'Uber', 'eats', 'guys', 'are', 'dead', 'the', 'worst']","['uber', 'eats', 'guy', 'dead', 'bad']",Negative,0.0,0.729,0.271,-0.8428,Negative
12,New York,"🍟 @UberEats shares a report about ordering during COVID-19 times, detailing... » which states are most polite » how there's an uptick in people needing extra sauce » more: https://bit.ly/2DHQgIm",2020-07-14 20:49:23+00:00,,https://twitter.com/Complex/status/1283141563669938181,,"['🍟', '@', 'UberEats', 'shares', 'a', 'report', 'about', 'ordering', 'during', 'COVID-19', 'times', ',', 'detailing', '...', '»', 'which', 'states', 'are', 'most', 'polite', '»', 'how', 'there', ""'s"", 'an', 'uptick', 'in', 'people', 'needing', 'extra', 'sauce', '»', 'more', ':', 'https', ':', '//bit.ly/2DHQgIm']","['🍟', 'ubereats', 'share', 'report', 'order', 'covid-19', 'time', 'detail', '...', '»', 'state', 'polite', '»', ""'s"", 'uptick', 'people', 'need', 'extra', 'sauce', '»', 'http', '//bit.ly/2dhqgim']",Positive,0.087,0.0,0.913,0.296,Positive
13,New York,"For why am I a powdered donut? A powdered jelly donut? Because, then we’re talking",2020-07-14 20:49:03+00:00,,https://twitter.com/lucydimarino/status/1283141483214909440,,"['For', 'why', 'am', 'I', 'a', 'powdered', 'donut', '?', 'A', 'powdered', 'jelly', 'donut', '?', 'Because', ',', 'then', 'we', '’', 're', 'talking']","['powdered', 'donut', 'powder', 'jelly', 'donut', '’', 'talk']",Positive,0.0,0.0,1.0,0.0,Positive
14,New York,@UberEats @Uber_Support customer service is by far the one of the worse I’ve dealt with. Btw I’m jay not Justin but your customer service reps don’t care enough to even look at who they speak to before the send that auto junk msg,2020-07-14 20:34:23+00:00,,https://twitter.com/LynxDesignz/status/1283137788746117122,,"['@', 'UberEats', '@', 'Uber_Support', 'customer', 'service', 'is', 'by', 'far', 'the', 'one', 'of', 'the', 'worse', 'I', '’', 've', 'dealt', 'with', '.', 'Btw', 'I', '’', 'm', 'jay', 'not', 'Justin', 'but', 'your', 'customer', 'service', 'reps', 'don', '’', 't', 'care', 'enough', 'to', 'even', 'look', 'at', 'who', 'they', 'speak', 'to', 'before', 'the', 'send', 'that', 'auto', 'junk', 'msg']","['ubereats', 'uber_support', 'customer', 'service', 'far', 'one', 'bad', '’', 'dealt', 'btw', '’', 'jay', 'justin', 'customer', 'service', 'rep', '’', 'care', 'enough', 'even', 'look', 'speak', 'send', 'auto', 'junk', 'msg']",Positive,0.104,0.114,0.782,-0.0772,Negative
15,New York,@UberEats Please tell me why the food order i placed in Manhattan is making a delivery on the way.... in the BRONX and not stopping in Manhattan first? make it make sense,2020-07-14 20:06:21+00:00,,https://twitter.com/__ashleyfowler/status/1283130737831694337,,"['@', 'UberEats', 'Please', 'tell', 'me', 'why', 'the', 'food', 'order', 'i', 'placed', 'in', 'Manhattan', 'is', 'making', 'a', 'delivery', 'on', 'the', 'way', '...', '.', 'in', 'the', 'BRONX', 'and', 'not', 'stopping', 'in', 'Manhattan', 'first', '?', 'make', 'it', 'make', 'sense']","['ubereats', 'please', 'tell', 'food', 'order', 'place', 'manhattan', 'make', 'delivery', 'way', '...', 'bronx', 'stop', 'manhattan', 'first', 'make', 'make', 'sense']",Negative,0.112,0.107,0.78,0.0258,Positive
16,New York,Chris Paul when he sees the Uber Eats guy pull up ,2020-07-14 19:50:25+00:00,,https://twitter.com/RealSportFiend/status/1283126726382555136,,"['Chris', 'Paul', 'when', 'he', 'sees', 'the', 'Uber', 'Eats', 'guy', 'pull', 'up']","['chris', 'paul', 'see', 'uber', 'eats', 'guy', 'pull']",Negative,0.0,0.0,1.0,0.0,Positive
17,New York,"🥬 Verde que te quiero verde! 🥬 In summer we love fresh ensaladas, and this one with romaine, tomato, Spanish white tuna, mayonnaise, piparras, and pasta is delicious! Pass by El Chiringuito at Little Spain, or choose takeout through @caviar, @doordash, @ubereats, or @toasttab.",2020-07-14 19:43:02+00:00,,https://twitter.com/little_spain/status/1283124869362843655,,"['🥬', 'Verde', 'que', 'te', 'quiero', 'verde', '!', '🥬', 'In', 'summer', 'we', 'love', 'fresh', 'ensaladas', ',', 'and', 'this', 'one', 'with', 'romaine', ',', 'tomato', ',', 'Spanish', 'white', 'tuna', ',', 'mayonnaise', ',', 'piparras', ',', 'and', 'pasta', 'is', 'delicious', '!', 'Pass', 'by', 'El', 'Chiringuito', 'at', 'Little', 'Spain', ',', 'or', 'choose', 'takeout', 'through', '@', 'caviar', ',', '@', 'doordash', ',', '@', 'ubereats', ',', 'or', '@', 'toasttab', '.']","['🥬', 'verde', 'que', 'te', 'quiero', 'verde', '🥬', 'summer', 'love', 'fresh', 'ensaladas', 'one', 'romaine', 'tomato', 'spanish', 'white', 'tuna', 'mayonnaise', 'piparras', 'pasta', 'delicious', 'pass', 'el', 'chiringuito', 'little', 'spain', 'choose', 'takeout', 'caviar', 'doordash', 'ubereats', 'toasttab']",Positive,0.236,0.0,0.764,0.8807,Positive
18,New York,"Me, pondering my Uber eats meal choices: ",2020-07-14 19:40:10+00:00,,https://twitter.com/lexthegreatt_/status/1283124147552428038,,"['Me', ',', 'pondering', 'my', 'Uber', 'eats', 'meal', 'choices', ':']","['ponder', 'uber', 'eats', 'meal', 'choice']",Negative,0.0,0.0,1.0,0.0,Positive
19,New York,I swear Uber Eats is really pissing me off,2020-07-14 19:36:56+00:00,,https://twitter.com/JessMariee6/status/1283123332544634882,,"['I', 'swear', 'Uber', 'Eats', 'is', 'really', 'pissing', 'me', 'off']","['swear', 'uber', 'eats', 'really', 'piss']",Negative,0.0,0.598,0.402,-0.5356,Negative
20,New York,"III Amici Ristorante on #Google https://local.google.com/place?id=12816392699140578007&amp;use=posts&amp;lpsid=3542061496302803903 III Amici Ristorante. Italian Cuisine located in Linden, NJ. Call 908-862-0020 for pick up orders. Full menu on http://WWW.ITALYNJ.COM #UberEats #GrubHub #ItalianFood #lindenNJ #Italynj #Teamamicis #Italy #togofood",2020-07-14 19:26:12+00:00,#Google #UberEats #GrubHub #ItalianFood #lindenNJ #Italynj #Teamamicis #Italy #togofood,https://twitter.com/ItalyNJ/status/1283120631094169602,,"['III', 'Amici', 'Ristorante', 'on', '#', 'Google', 'https', ':', '//local.google.com/place', '?', 'id=12816392699140578007', '&', 'amp', ';', 'use=posts', '&', 'amp', ';', 'lpsid=3542061496302803903', 'III', 'Amici', 'Ristorante', '.', 'Italian', 'Cuisine', 'located', 'in', 'Linden', ',', 'NJ', '.', 'Call', '908-862-0020', 'for', 'pick', 'up', 'orders', '.', 'Full', 'menu', 'on', 'http', ':', '//WWW.ITALYNJ.COM', '#', 'UberEats', '#', 'GrubHub', '#', 'ItalianFood', '#', 'lindenNJ', '#', 'Italynj', '#', 'Teamamicis', '#', 'Italy', '#', 'togofood']","['iii', 'amici', 'ristorante', 'google', 'http', '//local.google.com/place', 'id=12816392699140578007', 'amp', 'use=posts', 'amp', 'lpsid=3542061496302803903', 'iii', 'amici', 'ristorante', 'italian', 'cuisine', 'locate', 'linden', 'nj', 'call', '908-862-0020', 'pick', 'order', 'full', 'menu', 'http', '//www.italynj.com', 'ubereats', 'grubhub', 'italianfood', 'lindennj', 'italynj', 'teamamicis', 'italy', 'togofood']",Positive,0.0,0.0,1.0,0.0,Positive
21,New York,My company and Uber Eats are partnering up to make ordering food for delivery even more rewarding. Learn how! https://bit.ly/3j4kwxi,2020-07-14 19:18:26+00:00,,https://twitter.com/woman_hattan/status/1283118675147407365,,"['My', 'company', 'and', 'Uber', 'Eats', 'are', 'partnering', 'up', 'to', 'make', 'ordering', 'food', 'for', 'delivery', 'even', 'more', 'rewarding', '.', 'Learn', 'how', '!', 'https', ':', '//bit.ly/3j4kwxi']","['company', 'uber', 'eats', 'partner', 'make', 'order', 'food', 'delivery', 'even', 'rewarding', 'learn', 'http', '//bit.ly/3j4kwxi']",Positive,0.221,0.0,0.779,0.5267,Positive
22,New York,"Small restaurant owner here, @TheGigglewaters in Tampa, FL area. Working hard to stay afloat through this. If you want your favorite places to make it, you HAVE to order take out. Pick it up yourself- UberEats/GrubHub etc all take 30% off the top PLUS fees- we make nothing.",2020-07-14 19:15:57+00:00,,https://twitter.com/RachelFine/status/1283118053841084416,,"['Small', 'restaurant', 'owner', 'here', ',', '@', 'TheGigglewaters', 'in', 'Tampa', ',', 'FL', 'area', '.', 'Working', 'hard', 'to', 'stay', 'afloat', 'through', 'this', '.', 'If', 'you', 'want', 'your', 'favorite', 'places', 'to', 'make', 'it', ',', 'you', 'HAVE', 'to', 'order', 'take', 'out', '.', 'Pick', 'it', 'up', 'yourself-', 'UberEats/GrubHub', 'etc', 'all', 'take', '30', '%', 'off', 'the', 'top', 'PLUS', 'fees-', 'we', 'make', 'nothing', '.']","['small', 'restaurant', 'owner', 'thegigglewaters', 'tampa', 'fl', 'area', 'working', 'hard', 'stay', 'afloat', 'want', 'favorite', 'place', 'make', 'order', 'take', 'pick', 'yourself-', 'ubereats/grubhub', 'etc', 'take', '30', 'top', 'plus', 'fees-', 'make', 'nothing']",Negative,0.194,0.044,0.762,0.5719,Positive
23,New York,Hungry? Get $5 off your first Uber Eats order of $15 or more. Terms apply. Use my code at checkout: eats-robertw598 http://ubr.to/EatsGiveGet,2020-07-14 18:51:59+00:00,,https://twitter.com/drrobertm/status/1283112022641704961,,"['Hungry', '?', 'Get', '$', '5', 'off', 'your', 'first', 'Uber', 'Eats', 'order', 'of', '$', '15', 'or', 'more', '.', 'Terms', 'apply', '.', 'Use', 'my', 'code', 'at', 'checkout', ':', 'eats-robertw598', 'http', ':', '//ubr.to/EatsGiveGet']","['hungry', 'get', '5', 'first', 'uber', 'eats', 'order', '15', 'terms', 'apply', 'use', 'code', 'checkout', 'eats-robertw598', 'http', '//ubr.to/eatsgiveget']",Negative,0.0,0.0,1.0,0.0,Positive
24,New York,WHAT?! Lmfao this tweet shows no shame or even negativity. U came up w/ that yourself. Lemme break the joke down like a bar. Imagine u see your favorite celebrity doing uber eats. You’ll be excited and shocked Understood the joke now ?,2020-07-14 18:48:14+00:00,,https://twitter.com/JazTheRapper/status/1283111078642278406,,"['WHAT', '?', '!', 'Lmfao', 'this', 'tweet', 'shows', 'no', 'shame', 'or', 'even', 'negativity', '.', 'U', 'came', 'up', 'w/', 'that', 'yourself', '.', 'Lem', 'me', 'break', 'the', 'joke', 'down', 'like', 'a', 'bar', '.', 'Imagine', 'u', 'see', 'your', 'favorite', 'celebrity', 'doing', 'uber', 'eats', '.', 'You', '’', 'll', 'be', 'excited', 'and', 'shocked', 'Understood', 'the', 'joke', 'now', '?']","['lmfao', 'tweet', 'show', 'shame', 'even', 'negativity', 'u', 'come', 'w/', 'lem', 'break', 'joke', 'like', 'bar', 'imagine', 'u', 'see', 'favorite', 'celebrity', 'uber', 'eats', '’', 'excite', 'shock', 'understood', 'joke']",Positive,0.392,0.21,0.398,0.7759,Positive
25,New York,"The food shows up late one time and it's ""Uber Eats is a horrible business"" from my dad lmao",2020-07-14 18:46:55+00:00,,https://twitter.com/petesbydre/status/1283110743978778624,,"['The', 'food', 'shows', 'up', 'late', 'one', 'time', 'and', 'it', ""'s"", '``', 'Uber', 'Eats', 'is', 'a', 'horrible', 'business', ""''"", 'from', 'my', 'dad', 'lmao']","['food', 'show', 'late', 'one', 'time', ""'s"", '``', 'uber', 'eats', 'horrible', 'business', ""''"", 'dad', 'lmao']",Negative,0.198,0.192,0.61,0.0314,Positive
26,New York,"@kfc hey just want to give a compliment to the staff at 2160 Flatbush Avenue in Brooklyn, NY. I do uber eats and seamless - they are always extra helpful and nice and even greet by first name. Once they even helped me bring big order (20 meals) to my car. :)",2020-07-14 18:41:06+00:00,,https://twitter.com/waterblocknyc/status/1283109281378729984,,"['@', 'kfc', 'hey', 'just', 'want', 'to', 'give', 'a', 'compliment', 'to', 'the', 'staff', 'at', '2160', 'Flatbush', 'Avenue', 'in', 'Brooklyn', ',', 'NY', '.', 'I', 'do', 'uber', 'eats', 'and', 'seamless', '-', 'they', 'are', 'always', 'extra', 'helpful', 'and', 'nice', 'and', 'even', 'greet', 'by', 'first', 'name', '.', 'Once', 'they', 'even', 'helped', 'me', 'bring', 'big', 'order', '(', '20', 'meals', ')', 'to', 'my', 'car', '.', ':', ')']","['kfc', 'hey', 'want', 'give', 'compliment', 'staff', '2160', 'flatbush', 'avenue', 'brooklyn', 'ny', 'uber', 'eats', 'seamless', 'always', 'extra', 'helpful', 'nice', 'even', 'greet', 'first', 'name', 'even', 'help', 'bring', 'big', 'order', '20', 'meal', 'car']",Positive,0.385,0.0,0.615,0.9186,Positive
27,New York,Seriously big shout out to @UberEats customer service ⭐️⭐️⭐️⭐️⭐️,2020-07-14 18:03:20+00:00,,https://twitter.com/Fifiishmael/status/1283099775768961025,,"['Seriously', 'big', 'shout', 'out', 'to', '@', 'UberEats', 'customer', 'service', '⭐️⭐️⭐️⭐️⭐️']","['seriously', 'big', 'shout', 'ubereats', 'customer', 'service', '⭐️⭐️⭐️⭐️⭐️']",Negative,0.0,0.134,0.866,-0.1779,Negative
28,New York,@SamanthaLaynnie blue berry donut for me ! 😋,2020-07-14 17:12:41+00:00,,https://twitter.com/ashleymarieecam/status/1283087032819093508,,"['@', 'SamanthaLaynnie', 'blue', 'berry', 'donut', 'for', 'me', '!', '😋']","['samanthalaynnie', 'blue', 'berry', 'donut', '😋']",Negative,0.0,0.0,1.0,0.0,Positive
29,New York,"Some fun data from @UberEats showing Americans' specific requests for their food orders during quarantine by state — and the fact that we all stress ate because ""requests for 'no bacon' and 'dressing on the side' both decreased."" via @AlisonFox",2020-07-14 17:11:47+00:00,,https://twitter.com/ChristineBurr/status/1283086806381137920,,"['Some', 'fun', 'data', 'from', '@', 'UberEats', 'showing', 'Americans', ""'"", 'specific', 'requests', 'for', 'their', 'food', 'orders', 'during', 'quarantine', 'by', 'state', '—', 'and', 'the', 'fact', 'that', 'we', 'all', 'stress', 'ate', 'because', '``', 'requests', 'for', ""'no"", 'bacon', ""'"", 'and', ""'dressing"", 'on', 'the', 'side', ""'"", 'both', 'decreased', '.', ""''"", 'via', '@', 'AlisonFox']","['fun', 'data', 'ubereats', 'show', 'americans', 'specific', 'request', 'food', 'order', 'quarantine', 'state', '—', 'fact', 'stress', 'ate', '``', 'request', ""'no"", 'bacon', ""'dressing"", 'side', 'decrease', ""''"", 'via', 'alisonfox']",Positive,0.113,0.096,0.79,0.128,Positive
30,New York,"Proud to be an Aries girl ♈ But this is not accurate for me. I prefer Boston creme, donuts with sprinkles, and Bavarian creme filled donuts.",2020-07-14 16:31:30+00:00,,https://twitter.com/AntigoneNYC/status/1283076668039585798,,"['Proud', 'to', 'be', 'an', 'Aries', 'girl', '♈', 'But', 'this', 'is', 'not', 'accurate', 'for', 'me', '.', 'I', 'prefer', 'Boston', 'creme', ',', 'donuts', 'with', 'sprinkles', ',', 'and', 'Bavarian', 'creme', 'filled', 'donuts', '.']","['proud', 'aries', 'girl', '♈', 'accurate', 'prefer', 'boston', 'creme', 'donuts', 'sprinkle', 'bavarian', 'creme', 'fill', 'donut']",Negative,0.181,0.0,0.819,0.4767,Positive
31,New York,Happy National Mac and Cheese Day. Perfect day to try our Cacio e Pepe version of this classic #piccolavenezia #astoriaitalian #astoriaqueens #jeaniuseatsqueens #yelpqueens #grubhub #caviarny #ubereats #macncheese @… https://www.instagram.com/p/CCoQHBVjD3Q/?igshid=vzji56vd57v5,2020-07-14 16:18:41+00:00,#piccolavenezia #astoriaitalian #astoriaqueens #jeaniuseatsqueens #yelpqueens #grubhub #caviarny #ubereats #macncheese,https://twitter.com/Piccola_Venezia/status/1283073442296631296,,"['Happy', 'National', 'Mac', 'and', 'Cheese', 'Day', '.', 'Perfect', 'day', 'to', 'try', 'our', 'Cacio', 'e', 'Pepe', 'version', 'of', 'this', 'classic', '#', 'piccolavenezia', '#', 'astoriaitalian', '#', 'astoriaqueens', '#', 'jeaniuseatsqueens', '#', 'yelpqueens', '#', 'grubhub', '#', 'caviarny', '#', 'ubereats', '#', 'macncheese', '@', '…', 'https', ':', '//www.instagram.com/p/CCoQHBVjD3Q/', '?', 'igshid=vzji56vd57v5']","['happy', 'national', 'mac', 'cheese', 'day', 'perfect', 'day', 'try', 'cacio', 'e', 'pepe', 'version', 'classic', 'piccolavenezia', 'astoriaitalian', 'astoriaqueens', 'jeaniuseatsqueens', 'yelpqueens', 'grubhub', 'caviarny', 'ubereats', 'macncheese', '…', 'http', '//www.instagram.com/p/ccoqhbvjd3q/', 'igshid=vzji56vd57v5']",Positive,0.236,0.0,0.764,0.8126,Positive
32,New York,Pedi um uber eats Nossa que tesão de motoboy,2020-07-14 16:01:36+00:00,,https://twitter.com/iamscre/status/1283069143487569922,,"['Pedi', 'um', 'uber', 'eats', 'Nossa', 'que', 'tesão', 'de', 'motoboy']","['pedi', 'um', 'uber', 'eats', 'nossa', 'que', 'tesão', 'de', 'motoboy']",Positive,0.0,0.0,1.0,0.0,Positive
33,New York,"So there’s this trend i noticed where people try to nit-pick my services and find non existent issues in an effort to get refunds or extra services ... this is not uber eats or your bank . I do my job well , you not getting no refunds out of me 👍🏿",2020-07-14 15:10:43+00:00,,https://twitter.com/shotbydfams/status/1283056337983885316,,"['So', 'there', '’', 's', 'this', 'trend', 'i', 'noticed', 'where', 'people', 'try', 'to', 'nit-pick', 'my', 'services', 'and', 'find', 'non', 'existent', 'issues', 'in', 'an', 'effort', 'to', 'get', 'refunds', 'or', 'extra', 'services', '...', 'this', 'is', 'not', 'uber', 'eats', 'or', 'your', 'bank', '.', 'I', 'do', 'my', 'job', 'well', ',', 'you', 'not', 'getting', 'no', 'refunds', 'out', 'of', 'me', '👍🏿']","['’', 'trend', 'notice', 'people', 'try', 'nit-pick', 'service', 'find', 'non', 'existent', 'issue', 'effort', 'get', 'refund', 'extra', 'service', '...', 'uber', 'eats', 'bank', 'job', 'well', 'get', 'refund', '👍🏿']",Positive,0.068,0.0,0.932,0.2732,Positive
34,New York,"Dear uber eats, 10% off is not a fucking deal.",2020-07-14 15:08:42+00:00,,https://twitter.com/youngpendeja/status/1283055831584591872,,"['Dear', 'uber', 'eats', ',', '10', '%', 'off', 'is', 'not', 'a', 'fucking', 'deal', '.']","['dear', 'uber', 'eats', '10', 'fucking', 'deal']",Positive,0.342,0.0,0.658,0.3818,Positive
35,New York,Son the fact that you can order bud like Uber eats in dc got me hype.,2020-07-14 14:53:25+00:00,,https://twitter.com/FatRozay/status/1283051981771345921,,"['Son', 'the', 'fact', 'that', 'you', 'can', 'order', 'bud', 'like', 'Uber', 'eats', 'in', 'dc', 'got', 'me', 'hype', '.']","['son', 'fact', 'order', 'bud', 'like', 'uber', 'eats', 'dc', 'get', 'hype']",Negative,0.217,0.0,0.783,0.3612,Positive
36,New York,"Disos is available on seamless, Grubhub, and Uber eats for delivery in Manhattan! ",2020-07-14 14:23:13+00:00,,https://twitter.com/DiSOSNYC/status/1283044383412170756,,"['Disos', 'is', 'available', 'on', 'seamless', ',', 'Grubhub', ',', 'and', 'Uber', 'eats', 'for', 'delivery', 'in', 'Manhattan', '!']","['disos', 'available', 'seamless', 'grubhub', 'uber', 'eats', 'delivery', 'manhattan']",Negative,0.0,0.0,1.0,0.0,Positive
