tweet_count,city,body,date,hashtags,link,geo,tokenized,lematized,tweets_str,cleaned
10,New York,am I the only one that thinks @UberEats is literally the worst food delivery service?,2020-07-14 21:12:50+00:00,,https://twitter.com/SeanAikens/status/1283147465303171072,,"['am', 'I', 'the', 'only', 'one', 'that', 'thinks', '@', 'UberEats', 'is', 'literally', 'the', 'worst', 'food', 'delivery', 'service', '?']","['be', 'I', 'the', 'only', 'one', 'that', 'think', '@', 'UberEats', 'be', 'literally', 'the', 'bad', 'food', 'delivery', 'service', '?']","be,I,the,only,one,that,think,@,UberEats,be,literally,the,bad,food,delivery,service,?",",I,,,one,,think,@,UberEats,,literally,,bad,food,delivery,service,?"
11,New York,You rich! I could only afford delivery once all quarantine... an that’s because someone else paid for it,2020-07-14 20:58:43+00:00,,https://twitter.com/BretonyBoheme/status/1283143914690674688,,"['You', 'rich', '!', 'I', 'could', 'only', 'afford', 'delivery', 'once', 'all', 'quarantine', '...', 'an', 'that', '’', 's', 'because', 'someone', 'else', 'paid', 'for', 'it']","['You', 'rich', '!', 'I', 'could', 'only', 'afford', 'delivery', 'once', 'all', 'quarantine', '...', 'an', 'that', '’', 's', 'because', 'someone', 'else', 'pay', 'for', 'it']","You,rich,!,I,could,only,afford,delivery,once,all,quarantine,...,an,that,’,s,because,someone,else,pay,for,it","You,rich,!,I,could,,afford,delivery,,,quarantine,...,,,’,,,someone,else,pay,,"
12,New York,The Uber eats guys are dead the worst ,2020-07-14 20:54:22+00:00,,https://twitter.com/meganmtz9/status/1283142818781945857,,"['The', 'Uber', 'eats', 'guys', 'are', 'dead', 'the', 'worst']","['The', 'Uber', 'eats', 'guy', 'be', 'dead', 'the', 'bad']","The,Uber,eats,guy,be,dead,the,bad","The,Uber,eats,guy,,dead,,bad"
13,New York,"🍟 @UberEats shares a report about ordering during COVID-19 times, detailing... » which states are most polite » how there's an uptick in people needing extra sauce » more: https://bit.ly/2DHQgIm",2020-07-14 20:49:23+00:00,,https://twitter.com/Complex/status/1283141563669938181,,"['🍟', '@', 'UberEats', 'shares', 'a', 'report', 'about', 'ordering', 'during', 'COVID-19', 'times', ',', 'detailing', '...', '»', 'which', 'states', 'are', 'most', 'polite', '»', 'how', 'there', ""'s"", 'an', 'uptick', 'in', 'people', 'needing', 'extra', 'sauce', '»', 'more', ':', 'https', ':', '//bit.ly/2DHQgIm']","['🍟', '@', 'UberEats', 'share', 'a', 'report', 'about', 'order', 'during', 'COVID-19', 'time', ',', 'detail', '...', '»', 'which', 'state', 'be', 'most', 'polite', '»', 'how', 'there', ""'s"", 'an', 'uptick', 'in', 'people', 'need', 'extra', 'sauce', '»', 'more', ':', 'http', ':', '//bit.ly/2DHQgIm']","🍟,@,UberEats,share,a,report,about,order,during,COVID-19,time,,,detail,...,»,which,state,be,most,polite,»,how,there,'s,an,uptick,in,people,need,extra,sauce,»,more,:,http,:,//bit.ly/2DHQgIm","🍟,@,UberEats,share,,report,,order,,COVID-19,time,,,detail,...,»,,state,,,polite,»,,,',,uptick,,people,need,extra,sauce,»,,:,http,:,//bit.ly/2DHQgIm"
14,New York,"For why am I a powdered donut? A powdered jelly donut? Because, then we’re talking",2020-07-14 20:49:03+00:00,,https://twitter.com/lucydimarino/status/1283141483214909440,,"['For', 'why', 'am', 'I', 'a', 'powdered', 'donut', '?', 'A', 'powdered', 'jelly', 'donut', '?', 'Because', ',', 'then', 'we', '’', 're', 'talking']","['For', 'why', 'be', 'I', 'a', 'powdered', 'donut', '?', 'A', 'powder', 'jelly', 'donut', '?', 'Because', ',', 'then', 'we', '’', 're', 'talk']","For,why,be,I,a,powdered,donut,?,A,powder,jelly,donut,?,Because,,,then,we,’,re,talk","For,,,I,,powdered,donut,?,A,powder,jelly,donut,?,Because,,,,,’,,talk"
15,New York,@UberEats @Uber_Support customer service is by far the one of the worse I’ve dealt with. Btw I’m jay not Justin but your customer service reps don’t care enough to even look at who they speak to before the send that auto junk msg,2020-07-14 20:34:23+00:00,,https://twitter.com/LynxDesignz/status/1283137788746117122,,"['@', 'UberEats', '@', 'Uber_Support', 'customer', 'service', 'is', 'by', 'far', 'the', 'one', 'of', 'the', 'worse', 'I', '’', 've', 'dealt', 'with', '.', 'Btw', 'I', '’', 'm', 'jay', 'not', 'Justin', 'but', 'your', 'customer', 'service', 'reps', 'don', '’', 't', 'care', 'enough', 'to', 'even', 'look', 'at', 'who', 'they', 'speak', 'to', 'before', 'the', 'send', 'that', 'auto', 'junk', 'msg']","['@', 'UberEats', '@', 'Uber_Support', 'customer', 'service', 'be', 'by', 'far', 'the', 'one', 'of', 'the', 'bad', 'I', '’', 've', 'dealt', 'with', '.', 'Btw', 'I', '’', 'm', 'jay', 'not', 'Justin', 'but', 'your', 'customer', 'service', 'rep', 'don', '’', 't', 'care', 'enough', 'to', 'even', 'look', 'at', 'who', 'they', 'speak', 'to', 'before', 'the', 'send', 'that', 'auto', 'junk', 'msg']","@,UberEats,@,Uber_Support,customer,service,be,by,far,the,one,of,the,bad,I,’,ve,dealt,with,.,Btw,I,’,m,jay,not,Justin,but,your,customer,service,rep,don,’,t,care,enough,to,even,look,at,who,they,speak,to,before,the,send,that,auto,junk,msg","@,UberEats,@,Uber_Support,customer,service,,,far,,one,,,bad,I,’,,dealt,,.,Btw,I,’,,jay,,Justin,,,customer,service,rep,,’,,care,enough,,even,look,,,,speak,,,,send,,auto,junk,msg"
16,New York,@UberEats Please tell me why the food order i placed in Manhattan is making a delivery on the way.... in the BRONX and not stopping in Manhattan first? make it make sense,2020-07-14 20:06:21+00:00,,https://twitter.com/__ashleyfowler/status/1283130737831694337,,"['@', 'UberEats', 'Please', 'tell', 'me', 'why', 'the', 'food', 'order', 'i', 'placed', 'in', 'Manhattan', 'is', 'making', 'a', 'delivery', 'on', 'the', 'way', '...', '.', 'in', 'the', 'BRONX', 'and', 'not', 'stopping', 'in', 'Manhattan', 'first', '?', 'make', 'it', 'make', 'sense']","['@', 'UberEats', 'Please', 'tell', 'me', 'why', 'the', 'food', 'order', 'i', 'place', 'in', 'Manhattan', 'be', 'make', 'a', 'delivery', 'on', 'the', 'way', '...', '.', 'in', 'the', 'BRONX', 'and', 'not', 'stop', 'in', 'Manhattan', 'first', '?', 'make', 'it', 'make', 'sense']","@,UberEats,Please,tell,me,why,the,food,order,i,place,in,Manhattan,be,make,a,delivery,on,the,way,...,.,in,the,BRONX,and,not,stop,in,Manhattan,first,?,make,it,make,sense","@,UberEats,Please,tell,,,,food,order,,place,,Manhattan,,make,,delivery,,,way,...,.,,,BRONX,,,stop,,Manhattan,first,?,make,,make,sense"
17,New York,Chris Paul when he sees the Uber Eats guy pull up ,2020-07-14 19:50:25+00:00,,https://twitter.com/RealSportFiend/status/1283126726382555136,,"['Chris', 'Paul', 'when', 'he', 'sees', 'the', 'Uber', 'Eats', 'guy', 'pull', 'up']","['Chris', 'Paul', 'when', 'he', 'see', 'the', 'Uber', 'Eats', 'guy', 'pull', 'up']","Chris,Paul,when,he,see,the,Uber,Eats,guy,pull,up","Chris,Paul,,,see,,Uber,Eats,guy,pull,"
18,New York,"🥬 Verde que te quiero verde! 🥬 In summer we love fresh ensaladas, and this one with romaine, tomato, Spanish white tuna, mayonnaise, piparras, and pasta is delicious! Pass by El Chiringuito at Little Spain, or choose takeout through @caviar, @doordash, @ubereats, or @toasttab.",2020-07-14 19:43:02+00:00,,https://twitter.com/little_spain/status/1283124869362843655,,"['🥬', 'Verde', 'que', 'te', 'quiero', 'verde', '!', '🥬', 'In', 'summer', 'we', 'love', 'fresh', 'ensaladas', ',', 'and', 'this', 'one', 'with', 'romaine', ',', 'tomato', ',', 'Spanish', 'white', 'tuna', ',', 'mayonnaise', ',', 'piparras', ',', 'and', 'pasta', 'is', 'delicious', '!', 'Pass', 'by', 'El', 'Chiringuito', 'at', 'Little', 'Spain', ',', 'or', 'choose', 'takeout', 'through', '@', 'caviar', ',', '@', 'doordash', ',', '@', 'ubereats', ',', 'or', '@', 'toasttab', '.']","['🥬', 'Verde', 'que', 'te', 'quiero', 'verde', '!', '🥬', 'In', 'summer', 'we', 'love', 'fresh', 'ensaladas', ',', 'and', 'this', 'one', 'with', 'romaine', ',', 'tomato', ',', 'Spanish', 'white', 'tuna', ',', 'mayonnaise', ',', 'piparras', ',', 'and', 'pasta', 'be', 'delicious', '!', 'Pass', 'by', 'El', 'Chiringuito', 'at', 'Little', 'Spain', ',', 'or', 'choose', 'takeout', 'through', '@', 'caviar', ',', '@', 'doordash', ',', '@', 'ubereats', ',', 'or', '@', 'toasttab', '.']","🥬,Verde,que,te,quiero,verde,!,🥬,In,summer,we,love,fresh,ensaladas,,,and,this,one,with,romaine,,,tomato,,,Spanish,white,tuna,,,mayonnaise,,,piparras,,,and,pasta,be,delicious,!,Pass,by,El,Chiringuito,at,Little,Spain,,,or,choose,takeout,through,@,caviar,,,@,doordash,,,@,ubereats,,,or,@,toasttab,.","🥬,Verde,que,te,quiero,verde,!,🥬,In,summer,,love,fresh,ensaladas,,,,,one,,romaine,,,tomato,,,Spanish,white,tuna,,,mayonnaise,,,piparras,,,,pasta,,delicious,!,Pass,,El,Chiringuito,,Little,Spain,,,,choose,takeout,,@,caviar,,,@,doordash,,,@,ubereats,,,,@,toasttab,."
19,New York,"Me, pondering my Uber eats meal choices: ",2020-07-14 19:40:10+00:00,,https://twitter.com/lexthegreatt_/status/1283124147552428038,,"['Me', ',', 'pondering', 'my', 'Uber', 'eats', 'meal', 'choices', ':']","['Me', ',', 'ponder', 'my', 'Uber', 'eats', 'meal', 'choice', ':']","Me,,,ponder,my,Uber,eats,meal,choice,:","Me,,,ponder,,Uber,eats,meal,choice,:"
20,New York,I swear Uber Eats is really pissing me off,2020-07-14 19:36:56+00:00,,https://twitter.com/JessMariee6/status/1283123332544634882,,"['I', 'swear', 'Uber', 'Eats', 'is', 'really', 'pissing', 'me', 'off']","['I', 'swear', 'Uber', 'Eats', 'be', 'really', 'piss', 'me', 'off']","I,swear,Uber,Eats,be,really,piss,me,off","I,swear,Uber,Eats,,really,piss,,"
21,New York,"III Amici Ristorante on #Google https://local.google.com/place?id=12816392699140578007&amp;use=posts&amp;lpsid=3542061496302803903 III Amici Ristorante. Italian Cuisine located in Linden, NJ. Call 908-862-0020 for pick up orders. Full menu on http://WWW.ITALYNJ.COM #UberEats #GrubHub #ItalianFood #lindenNJ #Italynj #Teamamicis #Italy #togofood",2020-07-14 19:26:12+00:00,#Google #UberEats #GrubHub #ItalianFood #lindenNJ #Italynj #Teamamicis #Italy #togofood,https://twitter.com/ItalyNJ/status/1283120631094169602,,"['III', 'Amici', 'Ristorante', 'on', '#', 'Google', 'https', ':', '//local.google.com/place', '?', 'id=12816392699140578007', '&', 'amp', ';', 'use=posts', '&', 'amp', ';', 'lpsid=3542061496302803903', 'III', 'Amici', 'Ristorante', '.', 'Italian', 'Cuisine', 'located', 'in', 'Linden', ',', 'NJ', '.', 'Call', '908-862-0020', 'for', 'pick', 'up', 'orders', '.', 'Full', 'menu', 'on', 'http', ':', '//WWW.ITALYNJ.COM', '#', 'UberEats', '#', 'GrubHub', '#', 'ItalianFood', '#', 'lindenNJ', '#', 'Italynj', '#', 'Teamamicis', '#', 'Italy', '#', 'togofood']","['III', 'Amici', 'Ristorante', 'on', '#', 'Google', 'http', ':', '//local.google.com/place', '?', 'id=12816392699140578007', '&', 'amp', ';', 'use=posts', '&', 'amp', ';', 'lpsid=3542061496302803903', 'III', 'Amici', 'Ristorante', '.', 'Italian', 'Cuisine', 'locate', 'in', 'Linden', ',', 'NJ', '.', 'Call', '908-862-0020', 'for', 'pick', 'up', 'order', '.', 'Full', 'menu', 'on', 'http', ':', '//WWW.ITALYNJ.COM', '#', 'UberEats', '#', 'GrubHub', '#', 'ItalianFood', '#', 'lindenNJ', '#', 'Italynj', '#', 'Teamamicis', '#', 'Italy', '#', 'togofood']","III,Amici,Ristorante,on,#,Google,http,:,//local.google.com/place,?,id=12816392699140578007,&,amp,;,use=posts,&,amp,;,lpsid=3542061496302803903,III,Amici,Ristorante,.,Italian,Cuisine,locate,in,Linden,,,NJ,.,Call,908-862-0020,for,pick,up,order,.,Full,menu,on,http,:,//WWW.ITALYNJ.COM,#,UberEats,#,GrubHub,#,ItalianFood,#,lindenNJ,#,Italynj,#,Teamamicis,#,Italy,#,togofood","III,Amici,Ristorante,,#,Google,http,:,//local.google.com/place,?,id=12816392699140578007,&,amp,;,use=posts,&,amp,;,lpsid=3542061496302803903,III,Amici,Ristorante,.,Italian,Cuisine,locate,,Linden,,,NJ,.,Call,908-862-0020,,pick,,order,.,Full,menu,,http,:,//WWW.ITALYNJ.COM,#,UberEats,#,GrubHub,#,ItalianFood,#,lindenNJ,#,Italynj,#,Teamamicis,#,Italy,#,togofood"
22,New York,My company and Uber Eats are partnering up to make ordering food for delivery even more rewarding. Learn how! https://bit.ly/3j4kwxi,2020-07-14 19:18:26+00:00,,https://twitter.com/woman_hattan/status/1283118675147407365,,"['My', 'company', 'and', 'Uber', 'Eats', 'are', 'partnering', 'up', 'to', 'make', 'ordering', 'food', 'for', 'delivery', 'even', 'more', 'rewarding', '.', 'Learn', 'how', '!', 'https', ':', '//bit.ly/3j4kwxi']","['My', 'company', 'and', 'Uber', 'Eats', 'be', 'partner', 'up', 'to', 'make', 'order', 'food', 'for', 'delivery', 'even', 'more', 'rewarding', '.', 'Learn', 'how', '!', 'http', ':', '//bit.ly/3j4kwxi']","My,company,and,Uber,Eats,be,partner,up,to,make,order,food,for,delivery,even,more,rewarding,.,Learn,how,!,http,:,//bit.ly/3j4kwxi","My,company,,Uber,Eats,,partner,,,make,order,food,,delivery,even,,rewarding,.,Learn,,!,http,:,//bit.ly/3j4kwxi"
23,New York,"Small restaurant owner here, @TheGigglewaters in Tampa, FL area. Working hard to stay afloat through this. If you want your favorite places to make it, you HAVE to order take out. Pick it up yourself- UberEats/GrubHub etc all take 30% off the top PLUS fees- we make nothing.",2020-07-14 19:15:57+00:00,,https://twitter.com/RachelFine/status/1283118053841084416,,"['Small', 'restaurant', 'owner', 'here', ',', '@', 'TheGigglewaters', 'in', 'Tampa', ',', 'FL', 'area', '.', 'Working', 'hard', 'to', 'stay', 'afloat', 'through', 'this', '.', 'If', 'you', 'want', 'your', 'favorite', 'places', 'to', 'make', 'it', ',', 'you', 'HAVE', 'to', 'order', 'take', 'out', '.', 'Pick', 'it', 'up', 'yourself-', 'UberEats/GrubHub', 'etc', 'all', 'take', '30', '%', 'off', 'the', 'top', 'PLUS', 'fees-', 'we', 'make', 'nothing', '.']","['Small', 'restaurant', 'owner', 'here', ',', '@', 'TheGigglewaters', 'in', 'Tampa', ',', 'FL', 'area', '.', 'Working', 'hard', 'to', 'stay', 'afloat', 'through', 'this', '.', 'If', 'you', 'want', 'your', 'favorite', 'place', 'to', 'make', 'it', ',', 'you', 'HAVE', 'to', 'order', 'take', 'out', '.', 'Pick', 'it', 'up', 'yourself-', 'UberEats/GrubHub', 'etc', 'all', 'take', '30', '%', 'off', 'the', 'top', 'PLUS', 'fees-', 'we', 'make', 'nothing', '.']","Small,restaurant,owner,here,,,@,TheGigglewaters,in,Tampa,,,FL,area,.,Working,hard,to,stay,afloat,through,this,.,If,you,want,your,favorite,place,to,make,it,,,you,HAVE,to,order,take,out,.,Pick,it,up,yourself-,UberEats/GrubHub,etc,all,take,30,%,off,the,top,PLUS,fees-,we,make,nothing,.","Small,restaurant,owner,,,,@,TheGigglewaters,,Tampa,,,FL,area,.,Working,hard,,stay,afloat,,,.,If,,want,,favorite,place,,make,,,,,HAVE,,order,take,,.,Pick,,,-,UberEats/GrubHub,etc,,take,30,%,,,top,PLUS,fees-,,make,nothing,."
