username,location,text
Waldo_Louis,IN A CLOUD HAVING A BLUE DREAM,@UberEats I was charged an unjust cancellation fee! In the same second I ordered I cancelled to make an adjustment… https://t.co/q2E3KACu0Z
zacharybrinson,,@Uber_Support @UberEats to make the best of it my wife was watching on the app and he sat on the wrong side of of o… https://t.co/KXD9mB3IAK
sweetjuanita512,"New York, USA",Hungry? Get $5 off your first Uber Eats order of $15 or more. Terms apply. Use my code at checkout: eats-jeanmariej… https://t.co/kznpGUkYLj
micahhomg,atl,not my mom spending $50 on @UberEats only for it to never show up and then they give her a partial refund 😭
ShieldVoC,"Stockholm, Sweden",RT @zacharybrinson: @UberEats @Uber_Support So I'm glad to hear $5.00 back for an order that the driver picked up after 10 minutes (great)…
zacharybrinson,,@UberEats @Uber_Support So I'm glad to hear $5.00 back for an order that the driver picked up after 10 minutes (gre… https://t.co/CvqTFndciK
prevo13,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
TheAmiableOne,Midwest Living ,@htsgirl24 @UberEats Don't order through them NO MORE period!!!!
JoouBri,DMV,"@browjoi @lilspice666 I had this happen once for ubereats, it was supposed to be a lady on a bike but it was a man in a car. I reported it 🥴"
lilsoybeanlady,"Bozeman, MT",My UberEats driver just sent me this pic of my boyfriend and our food lmao thank you so much Richard https://t.co/JQVi6t3rOW
Birdmischief,Northeast United States,RT @filsdelucie1: My Ubereats is 30 min late.  Dafuk is Kamala doing up in that senate?  This bullshit. #huffpostHeadlines https://t.co/1tV…
IAMERR0RK0K0,Kepler-452b,@UberEats pisses me off... I order ONE item and it magically turns into two items. Then it takes a forty-minutes fo… https://t.co/PyS9yfQSH9
Joan1324,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
Nationalist_KAG,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
htsgirl24,,@MariahMartelW @UberEats Or take the money know the restaurant closing
MariahMartelW,"Cleveland Heights, OH",@htsgirl24 @UberEats Had this problem yesterday. I ordered food at 2am. Didn’t come til 4:45! I was sleep af. Why t… https://t.co/eXDj5c3PFc
WorldOfBenjamin,"Chicago, IL",@UberEats 3rd time in a row our food never came!
Vindemiaee,Between North⬆️ & South ⬇️,I swear I thought niggas be lying in the captions of their videos BUT tonight I got head from my UberEats Driver...… https://t.co/iLLDYbliFU
BlaqMarquee,"Worldwide, California Love",RT @filsdelucie1: My Ubereats is 30 min late.  Dafuk is Kamala doing up in that senate?  This bullshit. #huffpostHeadlines https://t.co/1tV…
PepPhelan,Australia,@Catherine_DrOz Can i please UberEats this? Where do you reside. I have a pineapple in my wallet that id happily sw… https://t.co/acqvqPcnap
_Nuzzix,,yo why tf is ubereats telling me it’s a 4 dollar delivery for a 2 dollar taco bell burrito?!?!!! i was trying to or… https://t.co/ZLkX4gLjg6
Hjames781,"Philadelphia, PA","@TayTay4ShayShay @bpal_ @DoorDash_Help People need to do them all lol. I do ubereats, grubhub, doordash and postmat… https://t.co/IhFqRpje5x"
CIG_KingJames,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
_StarPlatinumx,Somewhere anime related,"My UberEats just messaged ""I'm here dear"".....ummmm"
AmericasJoker,Madness,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
luism974,san antonio tx,Hungry? Get $5 off your first 3 Uber Eats orders of $15 or more. Terms apply. Use my code at checkout: eats-luisc33… https://t.co/QhfTF7CR7O
saharnazamini,,@UberEats I’ll support your business when you hire real humans to handle customer issues. Copying &amp; pasting the sam… https://t.co/Z7RXkpmhSP
DcCa97567055,United States,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
bologzown,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
mikebrooks88,,"If you ever order from DoorDash, and get “Bernard E” as a driver, cancel and order somewhere else. 

Dude literally… https://t.co/dOflvJ1dUt"
expectlettuce,"Chinook, Clackamas, Cowlitz ","@nogumbofornazis @UberEats Fuck uber. And Postmates just got bought by them, too."
bbyacia,Nowhere near you,Starring at the ubereats app so i can track where my foods at likeeee https://t.co/5xr6tTyou7
ClementeTequila,Under The Sun,@Bergback50 @chefsymon Go away Lady. I can guarantee from your post that restaurants do not want you as a customer.… https://t.co/K90BAVhxHy
HD96pruff,The Kenai,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
ElHetly,,@UberEats to all who does Uber eats You guys should quit this humiliating system.they start offering half of what t… https://t.co/hBgWAEFKDQ
htsgirl24,,I placed the order at 8 food was supposed to be to me by 9:05 . The restaurant close at 9 how the fuck y’all workin… https://t.co/hoXGsLveLu
VelvetLovenotes,22 she/her 🇦🇺🏳️‍🌈,@gothygerard ok now u can go downstairs to meet the ubereats guy this is my mental breakdown i get to stay in bed &lt;3
TiffDani,In My Skin,@ubereats @pandaexpress EPIC FAIL ALL AROUND
DRadka82,"Pacifica, CA",@UberEats my whole order is wrong and can’t contact the driver
TiffDani,In My Skin,@ubereats can’t get anyone on the phone and the restaurant told me to cancel bc my food is cold and they won’t remake it @pandaexpress
alexmeowww,"Los Angeles, CA","@UberEats you gave me a credit for your mistake. Then when I try to use it, you “take the credit” and then charge m… https://t.co/GOOY38YxG3"
TiffDani,In My Skin,@ubereats messed me up again... been waiting for over an hour
htsgirl24,,Yo @UberEats where the fuck is my food ! How are y’all  taking money and not giving food !
DjSpadus,"Denton, TX",James and I ordered UberEats and he cannot decide whether our Thai food was good af  because it was the perfect tem… https://t.co/pyDAh1dkH9
lsteinwriter,Philadelphia suburbs,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
ogbulesky,"she//her, 18+ content ",shoutout to alex for being our ubereats driver
PhoBu3,All Roads Lead to Putin,RT @filsdelucie1: My Ubereats is 30 min late.  Dafuk is Kamala doing up in that senate?  This bullshit. #huffpostHeadlines https://t.co/1tV…
crystalhylai,she/her,i got the wrong ubereats order so i guess i'm trying this concoction https://t.co/4Go5ozhxpk
soklaj9,المجدل ,@StopAntisemites @MarciaOrourke @UberEats @bnaibrithcanada the so-called zionest entity will soon be demolished fro… https://t.co/EYoN8ojtf9
GordyDoesNotLie,"Colorado, USA","RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
PapiChampooo,New York,What should I get from @UberEats 🤔
MasonIreton1,United States,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
noan21,"Phoenix, AZ",@UberEats @McDonalds Did my driver have a snack ok the way over or is this what constitutes a large fry? https://t.co/JzBLiDXa5u
phil_aroian,Brooklyn,"@sriramk My guess is it drives better conversion and clearer data capture. It’s just like UberEats, Postmates, etc.… https://t.co/OK1JBSeaWa"
hoochtech1,Carp Nevada USA,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
ShorgeTv,"Los Angeles, CA",@UberEats worst service ever today. I been waiting for my food for 2 hours since Oroginal time of delivery. I talke… https://t.co/x5PjNr6rSJ
1GaryBernstein,Viva Las Vegas and Cali,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
DanNeeder,Toronto via Montréal,"@UberEats Why is it every time I pay a high delivery charge ($3-$6), I end up with a partner who has to make a deli… https://t.co/sUge4e4TVl"
airpocky,"Virginia, USA",Hungry? Get 25% off (up to $7) your first 2 Uber Eats orders. Terms apply. Use my code at checkout: eats-tain1506ue… https://t.co/gOrIVE9vKa
Ensui_acnh,Greeni 🌱 pfp by @Emsprouts,RT @SoulSurVGC: ubereats be like https://t.co/RAgBfZSCei
SoulSurVGC,"New York, USA",ubereats be like https://t.co/RAgBfZSCei
ivankaaxoxo,dirty jerz// santo domingo,yall gonna get my money back or something what? @UberEats
Im_DizzyR,New Jersey,"Don’t use @UberEats, they got drivers that steal your food, cancel the order and steal your money. Boycott that shit"
aannawastaken,she/her,now i want ubereats
TrishTumbles,Melbourne - Australia,@oportoaustralia should really have a process in place to make delivery orders right if staff forget to include a p… https://t.co/JDWINao2ig
WindWolfgang,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
chrrymilks,she/her | chaotic stupid ™ |👺,@jnsavko @UberEats update: its 9:31 and i never got my food but  i did get my refund so thats a plus
corey_spector5,,@Chad_Maxwick @UberEats I would not have known this was about you had it not been for “some personal news”
Whathe15,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
OneCauseATATime,Ca,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
Tristan_Jhaye,,@UberEats we ordered 3 bowls from chipotle and all 3 of them were entirely wrong. It’s like they decided not to fol… https://t.co/e98qrjN2Zp
jennifer_0780,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
Im_DizzyR,New Jersey,Y’all got some explaining to do @UberEats #BoycottUber https://t.co/MY8V6hwcax
ivankaaxoxo,dirty jerz// santo domingo,y’all letting your drivers steal people’s foods and cancel them?  @UberEats
RedGirlWarrior1,United States,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
rubble30,United States,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
Akimraht,"Toronto, Ontario","Mika
@UberEats just received food that was congealed and inedible. I should have known better and ordered from… https://t.co/sAE4E6Ky6a"
GladtobeSAHD,IL,"MAKE $$$ EXTRA BONUS for UBER EATS delivery drivers with this link

https://t.co/KPQa8Uq76J  

Each city has a diff… https://t.co/36QAHRMKtb"
Redrice__SNKZ,𝕀𝔻:ℝ𝕖𝕕𝕣𝕚𝕔𝕖__𝕊ℕ𝕂ℤ-𝟜-,@luna_akp UberEATS
RingoSims,United States,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
gioperalto,South Florida,@UberEats you really just gonna let me starve like that? https://t.co/R12A9sDxmy
EdwardHerreraa,Methuen MA,"CHIMOS 🔥
🌴MASTER PIZZA TROPICAL🌴
(978)208-7440
394 BROADWAY #grubhub
#ubereats #grubhub #postmates #cityoflawrence… https://t.co/TFc1dviO7D"
viraldads,,RT @MidwestEvan: Hear me out... Tinder but for hungry married couples. You swipe until you find a food match on @ubereats @grubhub @doordas…
GayHobbit69,,@blakebelladonna I once had a mix up in ubereats and stole a dudes dinner by mistake. The guy who had my actual ord… https://t.co/ahKoXVRsw7
hildymac,"Atlanta, GA",@jennybloozer @UberEats I love it when that happens. 😒
_s_hari,☁️,@jfarrell @Uber @amazon @DoorDash @UberEats @awscloud Huh? What does a cloud provider have to do with cloudflare being down?
cityslaqer,From Mexi-LA to Upstate SC,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
usa_legionnaire,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
