tweet_count,city,body,date,hashtags,link,geo
21,New York,"III Amici Ristorante on #Google https://local.google.com/place?id=12816392699140578007&amp;use=posts&amp;lpsid=3542061496302803903 III Amici Ristorante. Italian Cuisine located in Linden, NJ. Call 908-862-0020 for pick up orders. Full menu on http://WWW.ITALYNJ.COM #UberEats #GrubHub #ItalianFood #lindenNJ #Italynj #Teamamicis #Italy #togofood",2020-07-14 19:26:12+00:00,#Google #UberEats #GrubHub #ItalianFood #lindenNJ #Italynj #Teamamicis #Italy #togofood,https://twitter.com/ItalyNJ/status/1283120631094169602,
22,New York,My company and Uber Eats are partnering up to make ordering food for delivery even more rewarding. Learn how! https://bit.ly/3j4kwxi,2020-07-14 19:18:26+00:00,,https://twitter.com/woman_hattan/status/1283118675147407365,
23,New York,"Small restaurant owner here, @TheGigglewaters in Tampa, FL area. Working hard to stay afloat through this. If you want your favorite places to make it, you HAVE to order take out. Pick it up yourself- UberEats/GrubHub etc all take 30% off the top PLUS fees- we make nothing.",2020-07-14 19:15:57+00:00,,https://twitter.com/RachelFine/status/1283118053841084416,
24,New York,Hungry? Get $5 off your first Uber Eats order of $15 or more. Terms apply. Use my code at checkout: eats-robertw598 http://ubr.to/EatsGiveGet,2020-07-14 18:51:59+00:00,,https://twitter.com/drrobertm/status/1283112022641704961,
25,New York,WHAT?! Lmfao this tweet shows no shame or even negativity. U came up w/ that yourself. Lemme break the joke down like a bar. Imagine u see your favorite celebrity doing uber eats. You’ll be excited and shocked Understood the joke now ?,2020-07-14 18:48:14+00:00,,https://twitter.com/JazTheRapper/status/1283111078642278406,
26,New York,"The food shows up late one time and it's ""Uber Eats is a horrible business"" from my dad lmao",2020-07-14 18:46:55+00:00,,https://twitter.com/petesbydre/status/1283110743978778624,
27,New York,"@kfc hey just want to give a compliment to the staff at 2160 Flatbush Avenue in Brooklyn, NY. I do uber eats and seamless - they are always extra helpful and nice and even greet by first name. Once they even helped me bring big order (20 meals) to my car. :)",2020-07-14 18:41:06+00:00,,https://twitter.com/waterblocknyc/status/1283109281378729984,
28,New York,Seriously big shout out to @UberEats customer service ⭐️⭐️⭐️⭐️⭐️,2020-07-14 18:03:20+00:00,,https://twitter.com/Fifiishmael/status/1283099775768961025,
29,New York,@SamanthaLaynnie blue berry donut for me ! 😋,2020-07-14 17:12:41+00:00,,https://twitter.com/ashleymarieecam/status/1283087032819093508,
30,New York,"Some fun data from @UberEats showing Americans' specific requests for their food orders during quarantine by state — and the fact that we all stress ate because ""requests for 'no bacon' and 'dressing on the side' both decreased."" via @AlisonFox",2020-07-14 17:11:47+00:00,,https://twitter.com/ChristineBurr/status/1283086806381137920,
31,New York,"Proud to be an Aries girl ♈ But this is not accurate for me. I prefer Boston creme, donuts with sprinkles, and Bavarian creme filled donuts.",2020-07-14 16:31:30+00:00,,https://twitter.com/AntigoneNYC/status/1283076668039585798,
32,New York,Happy National Mac and Cheese Day. Perfect day to try our Cacio e Pepe version of this classic #piccolavenezia #astoriaitalian #astoriaqueens #jeaniuseatsqueens #yelpqueens #grubhub #caviarny #ubereats #macncheese @… https://www.instagram.com/p/CCoQHBVjD3Q/?igshid=vzji56vd57v5,2020-07-14 16:18:41+00:00,#piccolavenezia #astoriaitalian #astoriaqueens #jeaniuseatsqueens #yelpqueens #grubhub #caviarny #ubereats #macncheese,https://twitter.com/Piccola_Venezia/status/1283073442296631296,
33,New York,Pedi um uber eats Nossa que tesão de motoboy,2020-07-14 16:01:36+00:00,,https://twitter.com/iamscre/status/1283069143487569922,
34,New York,"So there’s this trend i noticed where people try to nit-pick my services and find non existent issues in an effort to get refunds or extra services ... this is not uber eats or your bank . I do my job well , you not getting no refunds out of me 👍🏿",2020-07-14 15:10:43+00:00,,https://twitter.com/shotbydfams/status/1283056337983885316,
35,New York,"Dear uber eats, 10% off is not a fucking deal.",2020-07-14 15:08:42+00:00,,https://twitter.com/youngpendeja/status/1283055831584591872,
36,New York,Son the fact that you can order bud like Uber eats in dc got me hype.,2020-07-14 14:53:25+00:00,,https://twitter.com/FatRozay/status/1283051981771345921,
37,New York,"Disos is available on seamless, Grubhub, and Uber eats for delivery in Manhattan! ",2020-07-14 14:23:13+00:00,,https://twitter.com/DiSOSNYC/status/1283044383412170756,
38,New York,Uber eats ,2020-07-14 14:17:31+00:00,,https://twitter.com/Credz14/status/1283042950251974656,
39,New York,All I want is to order breakfast from this one spot and Uber eats keeps saying there’s no couriers nearby 🥴,2020-07-14 14:08:18+00:00,,https://twitter.com/_sashafaith/status/1283040627727511553,
40,New York,Had a blast talking to @EntreCourier about the business side of #UberEats and his adventures on the road in the #Denver area!,2020-07-14 14:00:10+00:00,#UberEats #Denver,https://twitter.com/MikeDeliversPod/status/1283038584329691137,
41,New York,"CHEESY GOODNESS 🔥Open TODAY on Sussex and Hudson from 11:30-3PM! PICK-UP ☎️(551)206-2060 and DELIVERY via Grubhub, UberEats and Seamless #cheesy #cheesesteak #deliciousness #sandwiches #lunchtime #paulushook… https://www.instagram.com/p/CCn_sadDfm_/?igshid=1q6gro5myw5qj",2020-07-14 13:55:15+00:00,#cheesy #cheesesteak #deliciousness #sandwiches #lunchtime #paulushook,https://twitter.com/noforksgivennj/status/1283037347496562689,
42,New York,Craving Dunkin Donut and Uber Eats I’m the way 🧡🧡,2020-07-14 13:41:42+00:00,,https://twitter.com/DeopatraStokes/status/1283033936403345409,
43,New York,.@Uber will introduce grocery delivery in the U.S. this month through its main app and @UberEats ,2020-07-14 13:40:41+00:00,,https://twitter.com/Brixmor/status/1283033678227152904,
44,New York,🤣🤣🤣,2020-07-14 13:22:47+00:00,,https://twitter.com/realblackcaviar/status/1283029176845570051,
45,New York,My favorite find from the 2020 @UberEats Cravings Report is a reminder that not all heroes wear capes. 🦸🏽💚 #EatLocal https://www.uber.com/newsroom/2020-uber-eats-cravings-report/,2020-07-14 13:17:05+00:00,#EatLocal,https://twitter.com/Meg_Casserly/status/1283027740858503168,
46,New York,"TUESDAY LUNCH! 🥖🥖 Disos 2: 51st, and Park ave corner, Call orders: 347-409-3116 Manhattan deliveries: Seamless, Grubhub, Uber Eats",2020-07-14 13:16:33+00:00,,https://twitter.com/DiSOSNYC/status/1283027604967235585,
47,New York,Good morning bitch @UberEats you will never ever be on the same level as DoorDash !!,2020-07-14 12:55:43+00:00,,https://twitter.com/zazazinkkaa/status/1283022365266501634,
48,New York,"Idea: a MLM governance token intended to motivate people in the real world to get more people in the real world to do some action that brings value to the token: idea, decentralized Uber Eats: the advantage centralized solutions have is primarily marketing...",2020-07-14 12:27:18+00:00,,https://twitter.com/DennisonBertram/status/1283015210341629952,
49,New York,So last night someone ordered @redlobster from the W. 125th location in Harlem via @UberEats... didn’t have customer’s name or phone number.,2020-07-14 11:57:58+00:00,,https://twitter.com/Dame_Kelz/status/1283007831126478854,
50,New York,You know how Uber lets you schedule a ride? I wish Uber eats would let you schedule a delivery,2020-07-14 08:06:09+00:00,,https://twitter.com/larebelle__/status/1282949490304004103,
51,New York,#summerday #monday #ubereats 通常運転😗 How many 🍔 patty can you make out of this grounded beef… https://www.instagram.com/p/CCnP0S7jBVV/?igshid=ac7sdiww5llc,2020-07-14 06:56:54+00:00,#summerday #monday #ubereats,https://twitter.com/tkn921/status/1282932062471827456,
52,New York,The whole ubereats thing is suspicious,2020-07-14 05:34:54+00:00,,https://twitter.com/rvp719/status/1282911426336755715,
53,New York,Uber eats be playing with me bro. I just wanted some nuggets,2020-07-14 05:25:59+00:00,,https://twitter.com/majintsuu/status/1282909186062536705,
54,New York,next we have my this iconic weekend when we ordered uber eats from 5 different places. ,2020-07-14 04:45:09+00:00,,https://twitter.com/sweetenerbrii/status/1282898907220123649,
55,New York,"Nobody's coming to your winnebago...we've got a whole federal agency for that. So relax, your spittoon and squirrel tail collection is safe. The debt is going to be paid long before your Uber eats check hits your account.",2020-07-14 04:36:54+00:00,,https://twitter.com/KWashingtonBX/status/1282896834021797889,
56,New York,Never used Door Dash or Uber Eats... Don't trust em!!!,2020-07-14 03:23:14+00:00,,https://twitter.com/JoeArmstrong718/status/1282878291867820032,
57,New York,"Postmates,Ubereats,Caviar,DoorDash 😢 ",2020-07-14 03:19:35+00:00,,https://twitter.com/SuperDuperJZA/status/1282877375097839616,
58,New York,uber eats needs to make a function right before you order that they ask u about 3 times if you’re sure because 9 times outta 10 i don’t need that shit 😭,2020-07-14 03:12:37+00:00,,https://twitter.com/naomirose__/status/1282875620779855873,
59,New York,Someone needa beat my ass for da amount i be spending on ubereats,2020-07-14 02:53:34+00:00,,https://twitter.com/90zTai/status/1282870828661649414,
60,New York,You know what hurts more than a heart break? When you place an order on ubereats and you get a notification thinking that it’s on its way and it’s them letting you know that the order has been cancelled.,2020-07-14 02:52:36+00:00,,https://twitter.com/LuixHrdz/status/1282870584230191107,
61,New York,I need some good eats but uber eats is trash,2020-07-14 02:33:23+00:00,,https://twitter.com/imsofetchhhhh/status/1282865747610537986,
62,New York,"When he uber eats pop tarts and bagel bites after we took edibles, bought Love Simon and then cried",2020-07-14 02:07:27+00:00,,https://twitter.com/J_William90/status/1282859220547796994,
63,New York,The past two times I ordered from UberEats the food has been trash. Like why isn’t my food the same quality as someone who comes in person. I am so upset. It’s a sign I just need to cook my own shit,2020-07-14 01:28:08+00:00,,https://twitter.com/TheMilkHoney/status/1282849325622714372,
64,New York,@UberEats driver has been sitting in the same spot for half an hour. Won’t respond to my messages and you wont show your customer service number so how am I going to get my order.,2020-07-14 00:46:43+00:00,,https://twitter.com/BucksyDaDon/status/1282838905398743043,
65,New York,@Uber @Uber_Support @UberEats hiding your customer service number so customers can’t contact you is the worst business policy EVER. How can you call yourself a model business.,2020-07-14 00:46:43+00:00,,https://twitter.com/BucksyDaDon/status/1282838903486119936,
66,New York,i just paid $2.50 for a canned soda. ubereats count ur fckin days.,2020-07-14 00:46:12+00:00,,https://twitter.com/missessmalcolm/status/1282838775501074433,
67,New York,🥺 I hope you feel better soon. Let me know if there's anything you crave and I will have it Uber eats'd to you.,2020-07-14 00:26:53+00:00,,https://twitter.com/Jamix012/status/1282833913979768833,
68,New York,Order @UberEats from my link &amp; save with me 👉🏾👉🏾👉🏾 eats-shantolh1ue,2020-07-14 00:22:50+00:00,,https://twitter.com/Model_Shanti/status/1282832893946089474,
69,New York,Uber eats service fees feels like someone rummaging through my pockets then throwing my wallet into the ocean.,2020-07-14 00:14:03+00:00,,https://twitter.com/DrakeDiani/status/1282830684806160384,
70,New York,all I gotta do is tell him I’m hungry and Ubereats is otw 😌,2020-07-14 00:07:32+00:00,,https://twitter.com/dvmilolaa/status/1282829042903900162,
71,New York,I am not sure who ordered @redlobster from the W. 125th St. Location via @UberEats... it’s completely untouched... please take it... kthanksbye!,2020-07-14 00:06:38+00:00,,https://twitter.com/Dame_Kelz/status/1282828816013041665,
72,New York,UberEatsでピザを注文しましたが... I order a Quattro Formaggi via UberEats and this happened. #団員めし,2020-07-13 23:21:48+00:00,,https://twitter.com/Vanilla_Inazuma/status/1282817532743876608,
73,New York,I don’t get it like are they using a more advance gps system that Uber eats doesn’t provide Lmfaoooo,2020-07-13 23:06:08+00:00,,https://twitter.com/zazazinkkaa/status/1282813591398359047,
74,New York,there’s nothing on this earth i hate more than ubereats drivers. i’m like 95% sure being an idiot is a requirement to work for them. ,2020-07-13 22:58:47+00:00,,https://twitter.com/copsandrobertss/status/1282811742654017536,
75,New York,Its the way DoorDash has held me down in the last two days more than UberEats ever did in the last 3 years,2020-07-13 22:58:15+00:00,,https://twitter.com/zazazinkkaa/status/1282811608545349632,
76,New York,"B, need that extra kick",2020-07-13 22:51:05+00:00,,https://twitter.com/toxicboi_q/status/1282809805925736448,
77,New York,It be the blow when you order from Uber eats and they’re delivering on a bike taking forever 🥴,2020-07-13 22:48:45+00:00,,https://twitter.com/Wills_Fresh/status/1282809219067064320,
78,New York,Uber eats has been slacking so much lately,2020-07-13 22:42:12+00:00,,https://twitter.com/jxloveeee/status/1282807568440504320,
79,New York,People talkin about how they’re gonna microchip us like your god damn Uber eats app isn’t already sharing your location 24/7. ,2020-07-13 22:29:06+00:00,,https://twitter.com/darkforestnyc/status/1282804270421757957,
80,New York,You ever place an Uber Eats order when you’re on your way home and the message “you seem far away” pops up? Like sis mind your business and deliver this food..... ,2020-07-13 22:28:30+00:00,,https://twitter.com/AmiraRasool/status/1282804121846927365,
81,New York,uber eats tá fazendo raiva 🤬,2020-07-13 22:28:20+00:00,,https://twitter.com/Eubiafreitas/status/1282804079190855684,
82,New York,Yea they play too much! And you report that the order is messed up and you only get some of your money back. I want my food 😢,2020-07-13 22:24:29+00:00,,https://twitter.com/Ellesaid_that/status/1282803109929066497,
83,New York,"@UberEats I am asking for a refund for an UberEats pass that I did not ask to renew and that I DID NOT USE. Your reps do not respond to my questions, they copy and paste preformated answers. I have a right to be refunded for a service I did not use.",2020-07-13 22:17:52+00:00,,https://twitter.com/RoScarda/status/1282801443976732673,
84,New York,"Yea, I’m done with @UberEats 🤬 I waited 2 hours for someone else’s order. I’m gonna just start ordering from restaurants that deliver because at least I would have a chance of actually receiving what I ordered 😒",2020-07-13 22:04:07+00:00,,https://twitter.com/Ellesaid_that/status/1282797986163171330,
85,New York,"I hate when my UberEats driver is on a bike, but I always tip more.",2020-07-13 21:54:09+00:00,,https://twitter.com/AmazingKev_/status/1282795475784142857,
86,New York,"I tried. Instead I said, “Alexa... UberEats... Chipotle... Reorder.”",2020-07-13 21:52:40+00:00,,https://twitter.com/ChrisJByrne/status/1282795102662995969,
87,New York,I keep trying to pronounce that word and it’s entertaining me until UberEats arrives. 🏳️‍🌈🇺🇸😉,2020-07-13 21:38:49+00:00,,https://twitter.com/ChrisJByrne/status/1282791617406087170,
88,New York,"Deleted Seamless and Uber Eats. For the next month, if I didn’t it cook it, I’m not eating it. #operationpapichulo",2020-07-13 21:32:17+00:00,#operationpapichulo,https://twitter.com/mannymiami347/status/1282789973301891072,
89,New York,"I’ll be hiding all the seasonings, putting up signs telling anybody dropping off food to leave it at the door in a special box that I only have the key to & getting her UberEats/DoorDash/Postmates accounts banned for fraud. ",2020-07-13 21:30:18+00:00,,https://twitter.com/MakotoRen_/status/1282789473231736837,
90,New York,Boutta Uber Eats a lobster to the crib,2020-07-13 21:13:18+00:00,,https://twitter.com/coolyfooly_/status/1282785195767341065,
91,New York,No Uber Eats inside the bubble? Lol,2020-07-13 21:08:50+00:00,,https://twitter.com/GeeRock819/status/1282784073384185857,
92,New York,I drive for Uber...Eats 😂,2020-07-13 21:07:17+00:00,,https://twitter.com/imaniakira/status/1282783684341506053,
93,New York,Adam Silver betta go head n let them players get Uber eats. This bubble food gonna have them weak and dropping lbs fast.,2020-07-13 21:01:13+00:00,,https://twitter.com/DiggsandCo/status/1282782156692033536,
94,New York,Cum. Lol!,2020-07-13 20:56:20+00:00,,https://twitter.com/SoursPowerHour/status/1282780928041984003,
95,New York,Uber eats sent my popeyes with no bev 🥴,2020-07-13 20:08:26+00:00,,https://twitter.com/HeartlessTay_/status/1282768871263535106,
96,New York,Can Uber eats get here any faster I’m starving,2020-07-13 18:53:15+00:00,,https://twitter.com/savageultd/status/1282749950166740992,
97,New York,"Uber Eats Discount, 25% Off Next Order (YMMV) ",2020-07-13 18:33:33+00:00,,https://twitter.com/dannydealguru/status/1282744992608464897,
98,New York,"If you have a Venture or Savor card from Capital One, for a limited time you can earn 5x rewards when you order through Uber Eats ",2020-07-13 18:30:08+00:00,,https://twitter.com/businessinsider/status/1282744135368282112,
99,New York,"@UberEats uber eats is forcing me to the most expensive tip. cancelled my order now its pending so i have to wait days to have my funds back, reordered again same thing nd in the app no way to actually contact them get back to me please",2020-07-13 18:10:46+00:00,,https://twitter.com/todoroki1992/status/1282739260924329988,
100,New York,Hungry? Get $5 off your first 2 Uber Eats orders of $15 or more. Terms apply. Use my code at checkout: eats-richardm50503ue http://ubr.to/EatsGiveGet,2020-07-13 18:07:18+00:00,,https://twitter.com/RichardMCoss/status/1282738386021822464,
101,New York,Ordered @ChipotleTweets for lunch via UberEats and ended up with bits of plastic in my burrito bowl. Immediately sent UberEats the evidence and they refunded me. Come on Chipotle. What’s going on with y’all!,2020-07-13 17:51:34+00:00,,https://twitter.com/iAm_CheNasty/status/1282734429316755458,
102,New York,Why is it important monitor ML models? How is monitoring different in ML versus software engineering? And what does this have to do with my UberEats delivery 🥡🥡 ? New post out now! First 1 in my new series on ML monitoring... ,2020-07-13 16:53:00+00:00,,https://twitter.com/MLinProduction/status/1282719690004013058,
103,New York,"Uber Eats will charge a delivery fee, a 15% service fee, and then be like “tip your delivery person” LOL",2020-07-13 16:38:57+00:00,,https://twitter.com/mobdadd/status/1282716152481841152,
104,New York,I’m single handedly making Uber Eats profitable,2020-07-13 16:37:22+00:00,,https://twitter.com/mobdadd/status/1282715754631245828,
105,New York,"I’m the type of dumbass who will be at someone else’s house, order Uber Eats, but get it delivered to my house because I forgot to change the address. 😣",2020-07-13 16:30:42+00:00,,https://twitter.com/highrolla_/status/1282714076104318976,
106,New York,@Uber Do your UberEats driver know which houses left a tip or is it rolled into one?,2020-07-13 16:14:32+00:00,,https://twitter.com/MsKolleen/status/1282710009068101633,
107,New York,i wanted to order some dominican food and then the first thing i saw when i opened my ubereats app was an açaí bowl smhhhh,2020-07-13 15:59:12+00:00,,https://twitter.com/Mawiiixx/status/1282706148710330368,
108,New York,Capital One Cards Now Earn 5X on UberEATS Orders ,2020-07-13 15:48:54+00:00,,https://twitter.com/dannydealguru/status/1282703558937382914,
109,New York,Uber Eats + Postmates offers Amazon-sized opportunity | Commentary – The Seattle Times ,2020-07-13 15:29:27+00:00,,https://twitter.com/mikestayflee/status/1282698663794483201,
110,New York,Anything you order after 11pm on Uber eats is guaranteed to fucc your stomach up.,2020-07-13 14:49:17+00:00,,https://twitter.com/92Ez_/status/1282688554569740289,
111,New York,"#HappyMonday Shop OPEN for outdoor seating, takeout &amp; delivery! @ubereats @doordash @postmates M-F 10am-9pm S&amp;Su 9am-4pm #MordisSandwichShop #JerseyCity",2020-07-13 14:46:33+00:00,#HappyMonday #MordisSandwichShop #JerseyCity,https://twitter.com/MordisFoodTruck/status/1282687867169517568,
112,New York,DoorDash>>>>>>>UberEats Step your cookies up bitch @UberEats !!!!!,2020-07-13 14:29:58+00:00,,https://twitter.com/zazazinkkaa/status/1282683694851993600,
113,New York,This whole Starbucks Blonde Vanilla Latte thing can’t become a habit. Ordered one this morning from UberEats. My wallet is like bitchhhhh 😒😒 but my taste buds are all: ,2020-07-13 14:28:11+00:00,,https://twitter.com/Beans628/status/1282683246715838464,
114,New York,"recruiting manager: “If hired, what could you bring to the table here at ______?” me: “oh, I don’t usually pack lunch. I’ll probably eat out or get something on UberEats idk”",2020-07-13 14:04:06+00:00,,https://twitter.com/balkanbaddie/status/1282677186680455171,
115,New York,Ordered Taco Bell on Uber eats this morning,2020-07-13 13:59:22+00:00,,https://twitter.com/blurry_face911/status/1282675993547878400,
116,New York,Ubereats gotta account for uphills when sending bikers on deliveries. My thighs are killing me 😭,2020-07-13 13:55:13+00:00,,https://twitter.com/afrocares/status/1282674948021026816,
117,New York,Yesterday I “committed” to setting a $300 budget for misc shoppings/Uber eats expenses and I’m already over LMFAOOOOOO IT IS MONDAY,2020-07-13 13:40:57+00:00,,https://twitter.com/ChefBoyarBree/status/1282671358594473986,
118,New York,So @UberEats screws up my order food cold gotta reheat then they send me a bs deal that I get 30% off if I spend $35. Lol! Back to Seamlesd!,2020-07-13 13:33:53+00:00,,https://twitter.com/poethell/status/1282669578502504449,
119,New York,Eu fico todo empolgado sempre que a #ubereats me manda uma mensagem pq aparece o símbolo 'UE' e eu fico pensando que é a União Europeia precisando de mim. Kkkkk,2020-07-13 13:18:33+00:00,#ubereats,https://twitter.com/theToddys/status/1282665719688302594,
120,New York,"MONDAY LUNCH! 🥖🥖 Disos 2: 52nd st off 6 ave corner, Call orders: 347-409-3116 Manhattan deliveries: Seamless, Grubhub, Uber Eats",2020-07-13 13:15:07+00:00,,https://twitter.com/DiSOSNYC/status/1282664856244695040,
121,New York,"In NYC for 4 months- I stayed inside, didn’t see any of my friends, and more times than I’d like to admit I UberEats McDonald’s. All while my friends in Florida were partying in large groups with no mask on and going to beaches. Now it’s your turn friends.",2020-07-13 12:57:16+00:00,,https://twitter.com/actually_Annika/status/1282660365122318336,
122,New York,"@Uber @UberEats cc @embraer DIVISION. @ADP @federalreserve @NewYorkFed @BIS_org @ecb @WWLawFirm @EY_US @FDICgov @USOCC AUTHORIZED SIGNED BY TITUS RA'MEIR PIERCE,MBA ORDERED: 12 Uber Drivers in my HQ FLEET POOL. Salary: $300,000 USD per year &amp; normal profit sharing.",2020-07-13 09:43:56+00:00,,https://twitter.com/rbabanksoleprop/status/1282611712273920000,
123,New York,"The U.S. has the most cases bc we test the most, fine, but then where is our UNITED RESPONSE? Australia/New Zealand quarantine all incoming visitors in a hotel for 14 days, they can't leave, no key, they can order uber eats/food. They hardly have any cases compared to the U.S.!",2020-07-13 06:23:18+00:00,,https://twitter.com/nyactor/status/1282561219363307522,
124,New York,How Uber eats took an hour and a half. I complained to try to get my $$back and they gave me $5 Uber cash 😭 they could really suck my dick💯,2020-07-13 05:58:48+00:00,,https://twitter.com/AllOverShmoneyy/status/1282555054281699335,
125,New York,ninguém com cupom do uber eats não?,2020-07-13 05:29:46+00:00,,https://twitter.com/rlx_allisoon/status/1282547747850256384,
126,New York,Is it true? @MagdielEntenza,2020-07-13 05:15:20+00:00,,https://twitter.com/JeffreyBurgos9/status/1282544117419999232,
127,New York,"@AppleDxnk ""I ordered UberEats, but I didn't order cake. You're also not my delivery driver, but I'd still eat your ass until my food gets here.""",2020-07-13 05:13:11+00:00,,https://twitter.com/InstaThotMads/status/1282543573322301442,
128,New York,Absolutely horrible customer service and experience with @UberEats tonight me and my fiancé @Heckstar715 waited over two and a half hours for one order to never show up and get cancelled then for the makeup order to take way past the allotted time and all we got was $5off.,2020-07-13 04:50:15+00:00,,https://twitter.com/MrsSavagePSB/status/1282537802765410305,
129,New York,BRO- I FR USED TO UBEREATS THAT SHIT LMAoO,2020-07-13 04:36:31+00:00,,https://twitter.com/necessarydeathh/status/1282534349297127425,
130,New York,"Of course. So Uber Eats only giving black owned businesses the benefit of not charging a delivery fee but you still have to pay to buy from white (or other) business is discrimination. I’m not even mad about it, just pointing out the double standard.",2020-07-13 01:11:13+00:00,,https://twitter.com/kim_me153/status/1282482682174177280,
131,New York,I’m gonna download that one too,2020-07-13 00:45:10+00:00,,https://twitter.com/Juliannyc901/status/1282476126032494594,
132,New York,,2020-07-13 00:44:30+00:00,,https://twitter.com/Juliannyc901/status/1282475957970972677,
133,New York,Patiently waiting for my Ubereats,2020-07-13 00:44:08+00:00,,https://twitter.com/colbyslovergirl/status/1282475866971398145,
134,New York,"I’m downloading that, cause @Grubhub and @UberEats got me fucked up today lol",2020-07-13 00:44:07+00:00,,https://twitter.com/Juliannyc901/status/1282475861590134784,
135,New York,Bitch...how did my Ubereats order &amp; Grubhub order both get canceled! I guess God wants me to cook or just not eat today.,2020-07-13 00:42:03+00:00,,https://twitter.com/Juliannyc901/status/1282475342272376834,
